,Source,Target,Weight
404,mental,pandemic,720
405,#mentalhealthawarenessmonth,ask,720
406,every,health,719
407,health,someone,719
408,#mentalhealthawarenessmonth,stay,718
409,#mentalhealthawarenessmonth,#endthestigma,718
410,#mentalhealthawarenessmonth,times,716
411,taking,mental,715
412,#mentalhealthmatters,month,714
413,improve,health,713
414,need,support,713
415,can,learn,711
416,#anxiety,#depression,707
417,join,may,707
418,#mentalhealthawarenessmonth,open,707
419,improve,mental,705
420,#mentalhealthmonday,people,705
421,#mentalhealthawarenessmonth,selfcare,703
422,#mentalhealthawarenessmonth,episode,702
423,time,amp,701
424,#mentalhealthawarenessmonth,show,699
425,#mentalhealthawarenessmonth,hard,698
426,can,world,697
427,mental,experience,697
428,can,affect,697
429,care,may,695
430,#mentalhealthawarenessmonth,years,695
431,#mentalhealthawarenessmonth,journey,693
432,#mentalhealthawarenessmonth,improve,692
433,#mentalhealthawarenessmonth,❤️,692
434,#mentalhealthawarenessmonth,change,691
435,mental,read,691
436,#mentalhealthawarenessmonth,helping,689
437,mental,5,688
438,help,resources,688
439,#mentalhealth,get,687
440,day,today,685
441,mental,struggling,685
442,#mentalhealthawarenessmonth,stop,685
443,#mentalhealth,just,684
444,month,help,684
445,#mentalhealthawarenessmonth,call,683
446,#mentalhealthawarenessmonth,another,683
447,#mentalhealthawarenessmonth,especially,682
448,mental,others,682
449,mental,let’s,682
450,mental,anxiety,680
451,love,beauty,680
452,#mentalhealthawarenessmonth,ones,679
453,#mentalhealthawarenessmonth,#notalone,678
454,can,time,677
455,#mentalhealthawarenessmonth,team,674
456,#mentalhealthmonth,health,674
457,mental,matters,672
458,#breakthestigma,mental,672
459,help,please,671
460,health,matters,671
461,#mentalhealthawarenessmonth,next,670
462,challenges,can,666
463,amp,people,665
464,#mentalhealthawarenessmonth,matters,659
465,mental,first,658
466,#mentalhealthawarenessmonth,raise,658
467,health,1,658
468,#mentalhealthmonday,day,657
469,health,first,655
470,reduce,health,653
471,can,feel,653
472,#mentalhealth,it’s,649
473,#mentalhealthawarenessmonth,face,649
474,mental,depression,648
475,world,mental,647
476,part,health,643
477,#mentalhealthawarenessmonth,disorder,642
478,#mentalhealthmonday,week,641
479,health,let’s,641
480,lets,health,641
481,#mentalhealth,#selfcare,639
482,may,people,639
483,#mentalhealthawarenessmonth,matter,639
484,#mentalhealthawarenessmonth,proud,638
485,#mentalhealthmonday,us,636
486,#mentalhealthawarenessmonth,focus,634
487,mental,want,634
488,#mentalhealthmonday,time,632
489,part,mental,631
490,it’s,amp,630
491,#selenagomez,#rarebeauty,630
492,way,mental,628
493,mental,great,627
494,#mentalhealthawarenessmonth,trauma,627
495,health,others,627
496,#mentalhealthawarenessmonth,try,624
497,mental,raise,623
498,#mentalhealthawarenessmonth,long,622
499,health,read,621
500,#mentalhealthawarenessmonth,create,620
501,raise,awareness,619
502,mental,see,619
503,#mentalhealthawarenessmonth,impact,618
504,love,thank,618
505,#mentalhealthmatters,#mentalhealthmonth,617
506,it’s,everything,617
507,#mentalhealthawarenessmonth,3,616
508,#mentalhealthmonday,take,616
509,#mentalhealthawarenessmonth,getting,615
510,#mentalhealthmonday,just,614
511,someone,help,614
512,world,health,611
513,#mentalhealthawarenessmonth,sometimes,611
514,care,can,611
515,#mentalhealthawarenessmonth,real,609
516,create,can,608
517,adults,mental,605
518,amp,resources,605
519,amp,will,604
520,#mentalhealthawarenessmonth,little,603
521,#mentalhealthawarenessmonth,working,603
522,happy,mental,602
523,health,struggling,600
524,thank,mental,599
525,#stayvulnerable,thank,599
526,health,great,597
527,#mentalhealthawarenessmonth,amazing,597
528,#stayvulnerable,makeup,597
529,can,let’s,597
530,way,health,596
531,it’s,need,595
532,anyone,mental,595
533,#mentalhealthawarenessmonth,crisis,595
534,help,will,595
535,health,anxiety,593
536,well,mental,593
537,also,mental,593
538,#mentalhealthawarenessmonth,thing,590
539,#mentalhealthawarenessmonth,lives,589
540,#mentalhealthmonday,good,588
541,#mentalhealthawarenessmonth,series,588
542,can,face,587
543,just,can,587
544,#mentalhealthawarenessmonth,youth,586
545,take,help,586
546,impact,health,586
547,#mentalhealthawarenessmonth,access,585
548,stigma,may,584
549,#mentalhealthawarenessmonth,friend,583
550,help,like,583
551,it’s,breathe,583
552,#mentalhealth,life,582
553,amp,take,582
554,#mentalhealthawarenessmonth,full,582
555,mental,find,580
556,thank,health,580
557,#mentalhealthmatters,#mentalhealthawarenessweek,579
558,#mentalhealthawarenessmonth,dr,578
559,#covid19,#mentalhealthawarenessmonth,577
560,#breakthestigma,health,576
561,behavioral,health,576
562,it’s,help,576
563,#mentalhealthawarenessmonth,continue,576
564,impact,mental,574
565,#mentalhealthawarenessmonth,body,574
566,mental,honor,574
567,#mentalhealthawarenessmonth,feelings,573
568,taking,care,573
569,better,mental,573
570,living,mental,573
571,can,helping,571
572,#mentalhealthawarenessmonth,tomorrow,571
573,#mentalhealthawarenessmonth,adults,570
574,it’s,ok,570
575,can,things,569
576,#mentalhealthawarenessmonth,4,569
577,need,can,569
578,#mentalhealthawarenessmonth,got,568
579,#mentalhealthawarenessmonth,treatment,567
580,health,see,567
581,#mentalhealthawarenessmonth,helps,567
582,#mentalhealthawarenessmonth,we’re,567
583,#mentalhealthmatters,us,565
584,happy,health,565
585,#mentalhealth,learn,565
586,#mentalhealthawarenessmonth,podcast,564
587,#mentalhealthawarenessmonth,daily,563
588,amp,need,563
589,know,people,561
590,stress,health,560
591,may,need,559
592,#mentalhealthawarenessmonth,importance,559
593,mental,conversation,559
594,#mentalhealthawarenessmonth,morning,559
595,#mentalhealthawarenessmonth,past,559
596,today,amp,557
597,#mentalhealthawarenessmonth,lot,557
598,health,want,556
599,mental,end,555
600,important,may,555
601,needs,health,554
602,need,just,552
603,join,amp,552
604,many,people,552
605,learn,may,550
606,mental,stress,550
607,health,find,550
608,alone,help,548
609,mental,sharing,548
610,mental,always,547
611,can,stress,547
612,anyone,health,545
613,#mentalillness,#mentalhealthawarenessmonth,545
614,#stayvulnerable,brand,544
615,#suicideprevention,#mentalhealthawarenessmonth,544
616,amp,care,544
617,it’s,one,544
618,#mentalhealthawarenessmonth,close,543
619,#mentalhealthawarenessmonth,#wellness,542
620,us,month,542
621,health,conversation,542
622,#mentalhealthawarenessmonth,made,541
623,mental,visit,541
624,#mentalhealthawarenessmonth,struggle,541
625,mental,talking,540
626,#mentalhealthawarenessmonth,since,540
627,amp,get,540
628,health,honor,540
629,mental,dont,539
630,#mentalhealthawarenessmonth,understand,538
631,anxiety,can,537
632,#mentalhealthawarenessmonth,looking,537
633,better,health,536
634,self,care,535
635,live,mental,535
636,amp,awareness,534
637,also,health,533
638,depression,health,533
639,#mentalhealth,talk,532
640,ask,help,531
641,health,sharing,530
642,#mentalhealthawarenessmonth,school,530
643,well,health,530
644,#mentalhealthawarenessmonth,often,529
645,#mentalhealthawarenessmonth,tell,528
646,#mentalhealth,like,527
647,#mentalhealthmonday,support,527
648,may,illness,527
649,needs,mental,525
650,#youarenotalone,#mentalhealthawarenessmonth,525
651,mental,youth,525
652,#mentalhealthawarenessmonth,#health,525
653,can,neighbors,524
654,can,inclusive,523
655,#notalone,mental,523
656,day,amp,523
657,5,health,523
658,health,always,523
659,mental,use,522
660,#mentalhealthawarenessmonth,national,522
661,us,support,521
662,mental,national,521
663,#mentalhealth,new,521
664,make,sure,521
665,#stayvulnerable,health,521
666,today,can,520
667,health,visit,519
668,mental,face,518
669,can,like,518
670,can,talk,517
671,can,check,517
672,love,help,517
673,someone,can,516
674,can,month,515
675,amp,check,515
676,health,raise,515
677,one,help,514
678,#goodneighbor,can,512
679,awareness,support,512
680,loved,ones,511
681,#mentalhealthmatters,day,510
682,one,may,508
683,time,help,508
684,#mentalhealth,good,507
685,just,help,507
686,#stayvulnerable,mental,507
687,#mentalhealthawarenessmonth,latest,507
688,family,health,506
689,#mentalhealthawarenessmonth,struggles,505
690,can,ways,505
691,health,experience,505
692,health,talking,505
693,#mentalhealth,now,503
694,#mentalhealthawarenessmonth,comes,503
695,#mentalhealthawarenessmonth,hear,503
696,#mentalhealthawarenessmonth,article,503
697,mental,blog,503
698,care,help,500
699,health,end,500
